name,company
alibaba,阿里巴巴
ant-design,阿里巴巴
thx,阿里巴巴
amfe,阿里巴巴
alipay,蚂蚁集团
AlloyTeam,腾讯
tencent,腾讯
QMUI,腾讯
WechatFE,腾讯
TencentOpen,腾讯
frozenui,腾讯
TencentARC,腾讯
baidu,百度
ecomfe,百度
fex-team,百度
baidu-research,百度
Huawei,华为
Qihoo360,360
75team,360
xiaomi,小米
wuba,58同城
Meituan-Dianping,美团
Meituan,美团
dianping,美团
didi,滴滴
DDFE,滴滴
zhihu,知乎
Bilibili,哔哩哔哩
weibocom,新浪微博
SOHUDBA,搜狐
jpush,极光开发者
vipshop,唯品会
dangdangdotcom,当当
douban,豆瓣
eleme,饿了么
ElemeFE,饿了么
netease,网易
qiniu,七牛
easemob,环信
yyued,YY
iqiyi,爱奇艺
bytedance,字节跳动
qunarcorp,去哪儿
ctripcorp,携程
momosecurity,陌陌
KwaiAppTeam,快手
facebook,Meta
apple,Apple
aws,Amazon
netflix,Netflix
google,Google
google-research,Google
sony,Sony
ibm,IBM
boeing,Boeing
uber,Uber
uber-go,Uber
shopify,Shopify
twitter,X
microsoft,Microsoft
cloudflare,Cloudflare
docker,Docker
cncf,Cloud Native Computing Foundation (CNCF)
openai,OpenAI
apache,The Apache Software Foundation
thu-cs-lab,清华大学
thudm,清华大学
deepseek-ai,深度求索
datawhalechina,Datawhale
jina-ai,Jina AI
bufbuild,Buf
grafana,Grafana Labs
douyu,斗鱼
OpenAtomFoundation,开放原子开源基金会
hashicorp,HashiCorp
vercel,Vercel
kubernetes,Kubernetes
JetBrains,JetBrains
github,Microsoft
huggingface,Hugging Face
